[2024-09-24 14:41:32,513] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:41:34,516] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:41:34,516] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:41:34,516] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:41:34,521] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:41:35,770] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :198c2cb7-8125-42b2-9028-7a280388326a
[2024-09-24 14:41:35,777] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:41:36,973] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:41:36,973] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:41:36,973] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:41:36,973] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:41:38,188] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :a3a5d6ff-afae-4a9e-baa4-de6867774690
[2024-09-24 14:41:38,190] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:41:39,417] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:41:39,417] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:41:39,417] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:41:39,417] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:41:40,563] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :5ff28213-50c2-4463-8c17-a400fd184b73
[2024-09-24 14:41:40,564] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:41:41,803] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:41:41,803] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:41:41,803] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:41:41,804] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:41:42,967] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :6b9828f6-9cad-40ab-b4ab-fa38af0e9618
[2024-09-24 14:41:42,970] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:41:44,145] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:41:44,145] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
